symbol,date,open,high,low,close,volume
AUDUSD,2026-07-16,0.70077,0.70131,0.69896,0.69989,51300
AUDUSD,2026-07-15,0.69737,0.7021,0.69673,0.7005,162183
AUDUSD,2026-07-14,0.69174,0.6993,0.69125,0.69737,224057
AUDUSD,2026-07-13,0.6943,0.69496,0.69131,0.69174,191200
AUDUSD,2026-07-12,0.69551,0.69585,0.6924,0.69297,41001
AUDUSD,2026-07-10,0.69403,0.69697,0.69335,0.69493,154553
AUDUSD,2026-07-09,0.69292,0.69469,0.69229,0.69403,281176
AUDUSD,2026-07-08,0.69277,0.69466,0.69063,0.69292,214151
AUDUSD,2026-07-07,0.69516,0.69603,0.6921,0.69277,150043
AUDUSD,2026-07-06,0.69317,0.69589,0.69216,0.69516,125602
AUDUSD,2026-07-05,0.6943,0.69488,0.69219,0.6925,3
AUDUSD,2026-07-03,0.69154,0.69495,0.69106,0.69335,134580
AUDUSD,2026-07-02,0.6893,0.69433,0.6884,0.69154,456258
AUDUSD,2026-07-01,0.69186,0.69199,0.68827,0.6893,153542
AUDUSD,2026-06-30,0.68853,0.69298,0.68651,0.69186,153757
AUDUSD,2026-06-29,0.68843,0.69043,0.68771,0.68853,162722
AUDUSD,2026-06-28,0.68843,0.68975,0.68807,0.68884,44328
AUDUSD,2026-06-26,0.69089,0.69171,0.68752,0.68907,197748
AUDUSD,2026-06-25,0.68993,0.69274,0.68868,0.69089,410212
AUDUSD,2026-06-24,0.69162,0.69234,0.68824,0.68993,198306
AUDUSD,2026-06-23,0.70009,0.70034,0.69069,0.69162,179378
AUDUSD,2026-06-22,0.70135,0.70192,0.69937,0.70009,169885
AUDUSD,2026-06-21,0.70064,0.70125,0.69821,0.70021,34880
AUDUSD,2026-06-19,0.70118,0.70241,0.69893,0.70103,189415
AUDUSD,2026-06-18,0.70137,0.70415,0.70009,0.70118,394552
AUDUSD,2026-06-17,0.70662,0.70754,0.6995,0.70137,217917
AUDUSD,2026-06-16,0.70708,0.70797,0.70419,0.70662,159337
AUDUSD,2026-06-15,0.70389,0.70883,0.70376,0.70708,166122
AUDUSD,2026-06-14,0.70389,0.70881,0.70376,0.70829,43787
AUDUSD,2026-06-12,0.70482,0.70598,0.70211,0.70428,310895
AUDUSD,2026-06-11,0.69968,0.7055,0.69787,0.70482,663666
AUDUSD,2026-06-10,0.70272,0.70373,0.69945,0.69968,369378
AUDUSD,2026-06-09,0.70443,0.70705,0.7005,0.70272,311089
AUDUSD,2026-06-08,0.70227,0.70783,0.70207,0.70443,306602
AUDUSD,2026-06-07,0.70167,0.70432,0.70074,0.70422,64163
AUDUSD,2026-06-05,0.71329,0.71438,0.7037,0.70381,228883
AUDUSD,2026-06-04,0.71271,0.71489,0.71223,0.71329,331268
AUDUSD,2026-06-03,0.718,0.71818,0.71267,0.71271,156510
AUDUSD,2026-06-02,0.71594,0.71879,0.71527,0.718,133264
AUDUSD,2026-06-01,0.71665,0.71901,0.71345,0.71594,206704
AUDUSD,2026-05-31,0.71665,0.71896,0.71665,0.71807,29114
AUDUSD,2026-05-29,0.71623,0.72005,0.71491,0.718,184370
AUDUSD,2026-05-28,0.7141,0.71697,0.70976,0.71623,387198
AUDUSD,2026-05-27,0.71662,0.71796,0.71237,0.7141,180864
AUDUSD,2026-05-26,0.71722,0.71763,0.71552,0.71662,171344
AUDUSD,2026-05-25,0.71555,0.7182,0.71492,0.71722,147763
AUDUSD,2026-05-24,0.71555,0.71736,0.71492,0.71612,29390
AUDUSD,2026-05-22,0.71493,0.71527,0.71163,0.7125,219440
AUDUSD,2026-05-21,0.7151,0.71685,0.70997,0.71493,265665
AUDUSD,2026-05-20,0.71066,0.71743,0.70868,0.7151,267181
AUDUSD,2026-05-19,0.71678,0.71767,0.70792,0.71066,219797
AUDUSD,2026-05-18,0.71432,0.71843,0.71185,0.71678,260199
AUDUSD,2026-05-17,0.71292,0.71833,0.71201,0.71302,57416
AUDUSD,2026-05-15,0.72201,0.72228,0.71397,0.71444,253930
AUDUSD,2026-05-14,0.72568,0.72643,0.72158,0.72201,243829
AUDUSD,2026-05-13,0.72398,0.72716,0.72306,0.72568,149220
AUDUSD,2026-05-12,0.72485,0.72519,0.72087,0.72398,184441
AUDUSD,2026-05-11,0.7222,0.72595,0.72158,0.72485,142883
AUDUSD,2026-05-10,0.7222,0.72402,0.72158,0.72302,38788
AUDUSD,2026-05-08,0.72074,0.7249,0.72,0.72426,182848
AUDUSD,2026-05-07,0.72366,0.72642,0.72043,0.72074,201850
AUDUSD,2026-05-06,0.71822,0.72776,0.71766,0.72366,253209
AUDUSD,2026-05-05,0.7166,0.71977,0.71355,0.71822,170749
AUDUSD,2026-05-04,0.7221,0.7221,0.71531,0.7166,231464
AUDUSD,2026-05-03,0.72098,0.7217,0.71632,0.72129,37675
AUDUSD,2026-05-01,0.7201,0.72278,0.71834,0.71992,175968
AUDUSD,2026-04-30,0.71157,0.72032,0.71078,0.7201,531068
