date,open,high,low,close
2022-12-01,1.04056,1.0534,1.03929,1.05261
2022-12-02,1.05261,1.05449,1.04281,1.05403
2022-12-05,1.05275,1.05948,1.04803,1.04933
2022-12-06,1.04933,1.05329,1.04592,1.04626
2022-12-07,1.04626,1.05498,1.04431,1.05057
2022-12-08,1.05057,1.05649,1.04895,1.05546
2022-12-09,1.05546,1.05882,1.05026,1.05329
2022-12-12,1.05275,1.05802,1.05058,1.05373
2022-12-13,1.05373,1.06732,1.05281,1.06315
2022-12-14,1.06315,1.06952,1.06188,1.06815
2022-12-15,1.06815,1.07363,1.05922,1.06264
2022-12-16,1.06264,1.06631,1.05843,1.05843
2022-12-19,1.05895,1.06581,1.05758,1.06077
2022-12-20,1.06077,1.06586,1.05789,1.06219
2022-12-21,1.06219,1.06452,1.05902,1.0605
2022-12-22,1.0605,1.06593,1.05732,1.05919
2022-12-23,1.05919,1.06328,1.05866,1.06139
2022-12-26,1.06139,1.06363,1.05946,1.0634
2022-12-27,1.0634,1.06695,1.06113,1.06389
2022-12-28,1.06389,1.06743,1.06065,1.06117
2022-12-29,1.06117,1.06906,1.06062,1.0661
2022-12-30,1.0661,1.07132,1.06385,1.06994
2023-01-02,1.06994,1.06994,1.06495,1.06647
2023-01-03,1.06647,1.06831,1.05194,1.05467
2023-01-04,1.05467,1.06351,1.05403,1.06019
2023-01-05,1.06019,1.06314,1.05149,1.05214
2023-01-06,1.05214,1.0648,1.04819,1.06392
2023-01-09,1.06392,1.07606,1.06365,1.07278
2023-01-10,1.07278,1.07594,1.07119,1.07329
2023-01-11,1.07329,1.07763,1.07254,1.07567
2023-01-12,1.07567,1.0867,1.07268,1.08522
2023-01-13,1.08522,1.08678,1.07803,1.08318
2023-01-16,1.083,1.08741,1.08013,1.08209
2023-01-17,1.08209,1.08694,1.07742,1.07874
2023-01-18,1.07874,1.08873,1.0766,1.0794
2023-01-19,1.0794,1.08401,1.07821,1.0831
2023-01-20,1.0831,1.0859,1.08022,1.08546
2023-01-23,1.08664,1.09267,1.08459,1.08682
2023-01-24,1.08682,1.08979,1.0835,1.08824
2023-01-25,1.08824,1.09236,1.0857,1.09122
2023-01-26,1.09122,1.09295,1.08504,1.08884
2023-01-27,1.08884,1.09005,1.08376,1.08657
2023-01-30,1.08644,1.09138,1.08391,1.08486
2023-01-31,1.08486,1.08749,1.0802,1.08606
2023-02-01,1.08606,1.10017,1.08521,1.09882
2023-02-02,1.09882,1.10328,1.08852,1.09093
2023-02-03,1.09093,1.09402,1.07924,1.07925
2023-02-06,1.07801,1.07989,1.07093,1.07253
2023-02-07,1.07253,1.07665,1.0669,1.07231
2023-02-08,1.07231,1.07607,1.07093,1.07098
2023-02-09,1.07098,1.07908,1.07087,1.07372
2023-02-10,1.07372,1.07527,1.06662,1.06764
2023-02-13,1.06791,1.07299,1.06554,1.07188
2023-02-14,1.07188,1.08044,1.07066,1.07366
2023-02-15,1.07366,1.07445,1.06604,1.06865
2023-02-16,1.06865,1.07225,1.06542,1.0672
2023-02-17,1.0672,1.06984,1.06126,1.06941
2023-02-20,1.06855,1.07045,1.06701,1.06844
2023-02-21,1.06844,1.06983,1.06374,1.06435
2023-02-22,1.06435,1.0664,1.05989,1.06039
2023-02-23,1.06039,1.06278,1.0577,1.05945
2023-02-24,1.05945,1.06143,1.0536,1.0545
2023-02-27,1.0543,1.06199,1.05329,1.0609
2023-02-28,1.0609,1.06453,1.05723,1.05723
2023-03-01,1.05723,1.06914,1.05652,1.06659
2023-03-02,1.06659,1.06728,1.05764,1.05968
2023-03-03,1.05968,1.06386,1.05882,1.06335
2023-03-06,1.0623,1.06943,1.06221,1.06789
2023-03-07,1.06789,1.06945,1.05461,1.05491
2023-03-08,1.05491,1.05739,1.05241,1.05419
2023-03-09,1.05419,1.05912,1.05368,1.05788
2023-03-10,1.05788,1.07008,1.05738,1.0639
2023-03-13,1.0681,1.07485,1.06503,1.0731
2023-03-14,1.0731,1.07496,1.06786,1.07326
2023-03-15,1.07326,1.07598,1.0516,1.05764
2023-03-16,1.05764,1.06356,1.05507,1.06092
2023-03-17,1.06092,1.06853,1.06046,1.06641
2023-03-20,1.06861,1.07308,1.06312,1.07172
2023-03-21,1.07172,1.07886,1.07038,1.07653
2023-03-22,1.07653,1.09123,1.07589,1.08546
2023-03-23,1.08546,1.09299,1.08239,1.08283
2023-03-24,1.08283,1.08386,1.07129,1.07594
2023-03-27,1.07721,1.08001,1.07447,1.07972
2023-03-28,1.07972,1.08485,1.07949,1.08422
2023-03-29,1.08422,1.08716,1.08177,1.08438
2023-03-30,1.08438,1.09262,1.08234,1.09046
2023-03-31,1.09046,1.09257,1.08367,1.08424
2023-04-03,1.08394,1.09166,1.07882,1.08951
2023-04-04,1.08951,1.09733,1.08826,1.09505
2023-04-05,1.09505,1.09696,1.0891,1.09022
2023-04-06,1.09022,1.09376,1.08845,1.09184
2023-04-07,1.09184,1.0924,1.0876,1.08987
2023-04-10,1.08987,1.09172,1.08312,1.08535
2023-04-11,1.08535,1.09281,1.08535,1.09097
2023-04-12,1.09097,1.10004,1.09084,1.09911
2023-04-13,1.09911,1.10677,1.09766,1.10462
2023-04-14,1.10462,1.10758,1.09724,1.09931
2023-04-17,1.09888,1.09998,1.09091,1.09234
2023-04-18,1.09234,1.09829,1.09206,1.0971
2023-04-19,1.0971,1.0984,1.09171,1.09537
2023-04-20,1.09537,1.09898,1.09334,1.09652
2023-04-21,1.09652,1.09938,1.09377,1.09884
2023-04-24,1.09906,1.10501,1.09659,1.10455
2023-04-25,1.10455,1.1067,1.0964,1.09727
2023-04-26,1.09727,1.10956,1.09666,1.1038
2023-04-27,1.1038,1.10634,1.09919,1.10275
2023-04-28,1.10275,1.1045,1.09624,1.10166
2023-05-01,1.10246,1.10356,1.09643,1.09731
2023-05-02,1.09731,1.10079,1.09418,1.09987
2023-05-03,1.09987,1.1092,1.09969,1.10594
2023-05-04,1.10594,1.10916,1.0986,1.10096
2023-05-05,1.10096,1.10478,1.09667,1.10176
2023-05-08,1.1024,1.10536,1.10001,1.10028
2023-05-09,1.10028,1.10047,1.0941,1.09604
2023-05-10,1.09604,1.10069,1.09416,1.09803
2023-05-11,1.09803,1.0998,1.08999,1.09153
2023-05-12,1.09153,1.09355,1.08478,1.08489
2023-05-15,1.08608,1.08908,1.08447,1.08741
2023-05-16,1.08741,1.09046,1.08549,1.08618
2023-05-17,1.08618,1.08736,1.08101,1.08388
2023-05-18,1.08388,1.0848,1.07624,1.07695
2023-05-19,1.07695,1.08288,1.07597,1.08054
2023-05-22,1.08045,1.08313,1.07952,1.08124
2023-05-23,1.08124,1.08206,1.07602,1.07687
2023-05-24,1.07687,1.08013,1.0748,1.07494
2023-05-25,1.07494,1.07567,1.07071,1.07251
2023-05-26,1.07251,1.07586,1.07015,1.07224
2023-05-29,1.07172,1.07434,1.07054,1.07065
2023-05-30,1.07065,1.07466,1.06724,1.07342
2023-05-31,1.07342,1.07357,1.0635,1.06887
2023-06-01,1.06887,1.07685,1.06616,1.07615
2023-06-02,1.07615,1.0779,1.07048,1.07066
2023-06-05,1.0711,1.07224,1.06745,1.07121
2023-06-06,1.07121,1.07328,1.06668,1.06925
2023-06-07,1.06925,1.07396,1.06682,1.06984
2023-06-08,1.06984,1.07871,1.06924,1.07818
2023-06-09,1.07818,1.07851,1.07427,1.07481
2023-06-12,1.0746,1.07901,1.0733,1.07564
2023-06-13,1.07564,1.08235,1.07529,1.07929
2023-06-14,1.07929,1.08641,1.07737,1.08239
2023-06-15,1.08239,1.09526,1.08036,1.09447
2023-06-16,1.09447,1.09705,1.09176,1.09406
2023-06-19,1.09406,1.09463,1.09071,1.09212
2023-06-20,1.09212,1.09462,1.08919,1.09179
2023-06-21,1.09179,1.09908,1.09056,1.09859
2023-06-22,1.09859,1.10122,1.09483,1.09557
2023-06-23,1.09557,1.09592,1.08441,1.08915
2023-06-26,1.09045,1.092,1.08871,1.09057
2023-06-27,1.09057,1.09766,1.09019,1.09604
2023-06-28,1.09604,1.09627,1.08966,1.09126
2023-06-29,1.09126,1.09413,1.086,1.08627
2023-06-30,1.08627,1.09318,1.08352,1.09097
2023-07-03,1.09105,1.09339,1.08701,1.09091
2023-07-04,1.09091,1.09163,1.08765,1.08777
2023-07-05,1.08777,1.09079,1.08509,1.08538
2023-07-06,1.08538,1.09006,1.08333,1.08876
2023-07-07,1.08876,1.09733,1.0867,1.09682
2023-07-10,1.097,1.10014,1.09433,1.10006
2023-07-11,1.10006,1.10271,1.09768,1.10084
2023-07-12,1.10084,1.11404,1.10005,1.11279
2023-07-13,1.11279,1.12278,1.11266,1.12262
2023-07-14,1.12262,1.12448,1.1204,1.12251
2023-07-17,1.12315,1.12488,1.12033,1.12314
2023-07-18,1.12314,1.12757,1.12087,1.12281
2023-07-19,1.12281,1.124,1.11743,1.11972
2023-07-20,1.11972,1.12291,1.11184,1.11291
2023-07-21,1.11291,1.11449,1.11078,1.11245
2023-07-24,1.1133,1.11469,1.10601,1.10638
2023-07-25,1.10638,1.10868,1.10204,1.10482
2023-07-26,1.10482,1.11067,1.10378,1.10857
2023-07-27,1.10857,1.11497,1.09657,1.09752
2023-07-28,1.09752,1.10475,1.09434,1.1013
2023-07-31,1.10193,1.10458,1.09934,1.09967
2023-08-01,1.09967,1.1003,1.09523,1.09843
2023-08-02,1.09843,1.10199,1.09178,1.09378
2023-08-03,1.09378,1.09629,1.09122,1.09491
2023-08-04,1.09491,1.10419,1.09332,1.1008
