date,open,high,low,close
2026-06-01,1.16543,1.16648,1.16068,1.16321
2026-06-02,1.163,1.16558,1.16135,1.1631
2026-06-03,1.16299,1.16336,1.15949,1.15986
2026-06-04,1.15998,1.16455,1.15946,1.1611
2026-06-05,1.16154,1.16445,1.1518,1.15226
2026-06-07,1.15091,1.1523,1.15071,1.15216
2026-06-08,1.15115,1.15548,1.14997,1.15324
2026-06-09,1.1537,1.15781,1.1527,1.1544
2026-06-10,1.15454,1.15731,1.15332,1.15357
2026-06-11,1.15366,1.15899,1.1503,1.15792
2026-06-12,1.15786,1.15897,1.15572,1.15669
2026-06-14,1.15739,1.16172,1.15734,1.16027
2026-06-15,1.15752,1.16221,1.15726,1.15894
2026-06-16,1.15939,1.16198,1.15748,1.16085
2026-06-17,1.16098,1.16168,1.14779,1.1502
2026-06-18,1.15013,1.15283,1.14513,1.14579
2026-06-19,1.1463,1.14807,1.1418,1.14712
2026-06-21,1.14638,1.14737,1.14546,1.14564
2026-06-22,1.14638,1.14737,1.1419,1.14284
2026-06-23,1.14272,1.14391,1.13757,1.13818
2026-06-24,1.13837,1.13845,1.13246,1.13586
2026-06-25,1.13618,1.13882,1.13335,1.13702
2026-06-26,1.13719,1.1434,1.13542,1.1385
2026-06-28,1.13897,1.13936,1.13812,1.13921
2026-06-29,1.13897,1.14306,1.13809,1.14242
2026-06-30,1.14244,1.14367,1.13827,1.14218
2026-07-01,1.14219,1.14233,1.13618,1.13782
2026-07-02,1.1378,1.1473,1.1375,1.14337
2026-07-03,1.1433,1.14622,1.14207,1.14376
2026-07-05,1.14338,1.14456,1.14281,1.14307
2026-07-06,1.14385,1.1445,1.14085,1.14408
2026-07-07,1.1442,1.14481,1.1408,1.14114
2026-07-08,1.14136,1.14316,1.13912,1.14162
2026-07-09,1.14186,1.14494,1.14158,1.14302
2026-07-10,1.14329,1.14608,1.14116,1.1415
2026-07-12,1.14286,1.14286,1.13895,1.13976
2026-07-13,1.14018,1.14458,1.13775,1.13804
2026-07-14,1.13843,1.14628,1.13782,1.14209
2026-07-15,1.14222,1.14824,1.1406,1.14636
2026-07-16,1.14642,1.14764,1.1431,1.14431
2026-07-17,1.14412,1.14522,1.14244,1.14382
2026-07-19,1.14325,1.14456,1.14194,1.1442
2026-07-20,1.14268,1.14496,1.14025,1.14138
2026-07-21,1.14148,1.14287,1.13974,1.1398
2026-07-22,1.13988,1.14217,1.13982,1.1412
2026-07-23,1.14104,1.14358,1.13638,1.13775
2026-07-24,1.13754,1.14012,1.1365,1.13706
2026-07-26,1.13958,1.14144,1.13881,1.14036
2026-07-27,1.13958,1.14184,1.1367,1.13683
2026-07-28,1.13686,1.14053,1.13532,1.13864
2026-07-29,1.13904,1.14709,1.13746,1.14668
2026-07-30,1.14599,1.1537,1.14344,1.1528
2026-07-31,1.15261,1.15476,1.14551,1.15306
2026-08-02,1.15485,1.1559,1.1527,1.15279
2026-08-03,1.15485,1.1559,1.15004,1.15084
2026-08-04,1.15118,1.15341,1.15022,1.15324
2026-08-05,1.15286,1.15594,1.15268,1.15534
2026-08-06,1.15548,1.15597,1.15147,1.15242
2026-08-07,1.15245,1.15808,1.15177,1.1558
2026-08-09,1.15674,1.15701,1.1549,1.15502
2026-08-10,1.15664,1.15665,1.154,1.15425
2026-08-11,1.15429,1.15498,1.15314,1.1543
2026-08-12,1.1541,1.15634,1.15199,1.1525
2026-08-13,1.15274,1.15456,1.15118,1.15293
2026-08-14,1.15286,1.15854,1.15265,1.15704
2026-08-16,1.15687,1.15875,1.15674,1.15798
2026-08-17,1.1564,1.16142,1.1564,1.15796
2026-08-18,1.15822,1.15884,1.15666,1.15752
2026-08-19,1.15763,1.16792,1.15702,1.16774
2026-08-20,1.1677,1.17105,1.16694,1.16785
2026-08-21,1.16783,1.17116,1.16688,1.16766
