symbol,date,open,high,low,close,volume
GBPUSD,2026-07-15,1.3539,1.35406,1.35249,1.35397,4163
GBPUSD,2026-07-14,1.33473,1.34432,1.33422,1.33807,360037
GBPUSD,2026-07-13,1.33825,1.34117,1.33424,1.33473,345799
GBPUSD,2026-07-12,1.33825,1.33886,1.33668,1.3379,71372
GBPUSD,2026-07-10,1.34078,1.34517,1.33917,1.33968,253938
GBPUSD,2026-07-09,1.33877,1.34308,1.33799,1.34078,436902
GBPUSD,2026-07-08,1.33589,1.34104,1.33222,1.33877,339307
GBPUSD,2026-07-07,1.33879,1.34015,1.33487,1.33589,213300
GBPUSD,2026-07-06,1.33408,1.33972,1.33286,1.33879,226660
GBPUSD,2026-07-05,1.33408,1.33566,1.33388,1.33414,46049
GBPUSD,2026-07-03,1.33453,1.3381,1.3334,1.33435,208694
GBPUSD,2026-07-02,1.32742,1.33846,1.32639,1.33453,786576
GBPUSD,2026-07-01,1.3258,1.32921,1.32187,1.32742,283304
GBPUSD,2026-06-30,1.32566,1.32767,1.3212,1.3258,246713
GBPUSD,2026-06-29,1.31987,1.32624,1.31884,1.32566,234689
GBPUSD,2026-06-28,1.31987,1.32098,1.31884,1.32046,44938
GBPUSD,2026-06-26,1.31896,1.3232,1.31801,1.3187,302980
GBPUSD,2026-06-25,1.3166,1.3219,1.31511,1.31896,547332
GBPUSD,2026-06-24,1.32034,1.32091,1.31402,1.3166,289123
GBPUSD,2026-06-23,1.32481,1.32521,1.31822,1.32034,254601
GBPUSD,2026-06-22,1.3186,1.32731,1.31833,1.32481,282756
GBPUSD,2026-06-21,1.3186,1.32335,1.31833,1.322,43091
GBPUSD,2026-06-19,1.32037,1.32408,1.3163,1.32283,217922
GBPUSD,2026-06-18,1.32885,1.33248,1.3193,1.32037,637570
GBPUSD,2026-06-17,1.34259,1.34386,1.3262,1.32885,316496
GBPUSD,2026-06-16,1.34124,1.34432,1.33905,1.34259,217805
GBPUSD,2026-06-15,1.33942,1.34608,1.33942,1.34124,230165
GBPUSD,2026-06-14,1.33942,1.34608,1.33942,1.34444,50011
GBPUSD,2026-06-12,1.34158,1.34262,1.33833,1.33942,341662
GBPUSD,2026-06-11,1.33678,1.34332,1.33245,1.34158,526114
GBPUSD,2026-06-10,1.33785,1.34235,1.33623,1.33678,322141
GBPUSD,2026-06-09,1.33394,1.34108,1.33306,1.33785,273589
GBPUSD,2026-06-08,1.33172,1.33696,1.33059,1.33394,331307
GBPUSD,2026-06-07,1.33172,1.33502,1.33122,1.33409,52525
GBPUSD,2026-06-05,1.34231,1.34833,1.33296,1.33296,292327
GBPUSD,2026-06-04,1.34159,1.34625,1.34088,1.34231,454064
GBPUSD,2026-06-03,1.34647,1.34717,1.34116,1.34159,235023
GBPUSD,2026-06-02,1.34547,1.34816,1.3446,1.34647,225802
GBPUSD,2026-06-01,1.34492,1.34761,1.34066,1.34547,268032
GBPUSD,2026-05-31,1.34492,1.34592,1.34453,1.34498,45382
