date,open,high,low,close
2022-12-01,1.20553,1.2311,1.20479,1.2254
2022-12-02,1.2254,1.22995,1.21335,1.22878
2022-12-05,1.22878,1.23442,1.21618,1.21871
2022-12-06,1.21871,1.22692,1.21269,1.21304
2022-12-07,1.21304,1.22344,1.21062,1.22081
2022-12-08,1.22081,1.22474,1.21546,1.22357
2022-12-09,1.22357,1.23225,1.22002,1.22651
2022-12-12,1.2253,1.22988,1.22057,1.22641
2022-12-13,1.22641,1.24439,1.22481,1.23645
2022-12-14,1.23645,1.24465,1.23419,1.24253
2022-12-15,1.24253,1.24277,1.21563,1.2178
2022-12-16,1.2178,1.2223,1.21194,1.21408
2022-12-19,1.21507,1.22419,1.21202,1.21452
2022-12-20,1.21452,1.22237,1.20848,1.2183
2022-12-21,1.2183,1.21919,1.20551,1.20826
2022-12-22,1.20826,1.21474,1.19917,1.20295
2022-12-23,1.20295,1.20903,1.20177,1.2046
2022-12-26,1.2046,1.20748,1.2046,1.20533
2022-12-27,1.20533,1.21123,1.20022,1.20137
2022-12-28,1.20137,1.2126,1.20017,1.20155
2022-12-29,1.20155,1.20784,1.20058,1.2053
2022-12-30,1.2053,1.21067,1.20092,1.20857
2023-01-02,1.20857,1.20857,1.20331,1.20439
2023-01-03,1.20439,1.20851,1.18997,1.19665
2023-01-04,1.19665,1.20875,1.19569,1.2053
2023-01-05,1.2053,1.20785,1.1873,1.19023
2023-01-06,1.19023,1.20994,1.1841,1.20861
2023-01-09,1.20812,1.22099,1.20794,1.21831
2023-01-10,1.21831,1.21979,1.21097,1.21505
2023-01-11,1.21505,1.21783,1.21004,1.21447
2023-01-12,1.21447,1.22469,1.20843,1.22061
2023-01-13,1.22061,1.22489,1.215,1.2227
2023-01-16,1.22147,1.22889,1.21708,1.21899
2023-01-17,1.21899,1.23006,1.21689,1.22845
2023-01-18,1.22845,1.24357,1.22537,1.23426
2023-01-19,1.23426,1.23973,1.23127,1.23875
2023-01-20,1.23875,1.24043,1.23352,1.23962
2023-01-23,1.23972,1.24478,1.23234,1.23734
2023-01-24,1.23734,1.24134,1.2263,1.23343
2023-01-25,1.23343,1.24041,1.22825,1.23977
2023-01-26,1.23977,1.24303,1.2344,1.2406
2023-01-27,1.2406,1.24188,1.23445,1.2388
2023-01-30,1.23901,1.24172,1.23364,1.23509
2023-01-31,1.23509,1.23709,1.22843,1.23181
2023-02-01,1.23181,1.23946,1.22715,1.23728
2023-02-02,1.23728,1.24012,1.2222,1.22238
2023-02-03,1.22238,1.22657,1.20427,1.20508
