date,open,high,low,close
2026-06-01,1.34492,1.34761,1.34066,1.34547
2026-06-02,1.34547,1.34816,1.3446,1.34647
2026-06-03,1.34647,1.34717,1.34116,1.34159
2026-06-04,1.34159,1.34625,1.34088,1.34231
2026-06-05,1.34231,1.34833,1.33296,1.33296
2026-06-07,1.33172,1.33502,1.33122,1.33409
2026-06-08,1.33172,1.33696,1.33059,1.33394
2026-06-09,1.33394,1.34108,1.33306,1.33785
2026-06-10,1.33785,1.34235,1.33623,1.33678
2026-06-11,1.33678,1.34332,1.33245,1.34158
2026-06-12,1.34158,1.34262,1.33833,1.33942
2026-06-14,1.33942,1.34608,1.33942,1.34444
2026-06-15,1.33942,1.34608,1.33942,1.34124
2026-06-16,1.34124,1.34432,1.33905,1.34259
2026-06-17,1.34259,1.34386,1.3262,1.32885
2026-06-18,1.32885,1.33248,1.3193,1.32037
2026-06-19,1.32037,1.32408,1.3163,1.32283
2026-06-21,1.3186,1.32335,1.31833,1.322
2026-06-22,1.3186,1.32731,1.31833,1.32481
2026-06-23,1.32481,1.32521,1.31822,1.32034
2026-06-24,1.32034,1.32091,1.31402,1.3166
2026-06-25,1.3166,1.3219,1.31511,1.31896
2026-06-26,1.31896,1.3232,1.31801,1.3187
2026-06-28,1.31987,1.32098,1.31884,1.32046
2026-06-29,1.31987,1.32624,1.31884,1.32566
2026-06-30,1.32566,1.32767,1.3212,1.3258
2026-07-01,1.3258,1.32921,1.32187,1.32742
2026-07-02,1.32742,1.33846,1.32639,1.33453
2026-07-03,1.33453,1.3381,1.3334,1.33435
2026-07-05,1.33408,1.33566,1.33388,1.33414
2026-07-06,1.33408,1.33972,1.33286,1.33879
2026-07-07,1.33879,1.34015,1.33487,1.33589
2026-07-08,1.33589,1.34104,1.33222,1.33877
2026-07-09,1.33877,1.34308,1.33799,1.34078
2026-07-10,1.34078,1.34517,1.33917,1.33968
2026-07-12,1.33825,1.33886,1.33668,1.3379
2026-07-13,1.33825,1.34117,1.33424,1.33473
2026-07-14,1.33473,1.34432,1.33422,1.33807
2026-07-15,1.33807,1.35579,1.33702,1.35389
2026-07-16,1.35389,1.35443,1.34595,1.34767
2026-07-17,1.34767,1.34809,1.3426,1.3448
2026-07-19,1.34334,1.34632,1.34334,1.34604
2026-07-20,1.34334,1.34812,1.34122,1.34312
2026-07-21,1.34312,1.34555,1.33592,1.33754
2026-07-22,1.33754,1.33952,1.33541,1.33736
2026-07-23,1.33736,1.33933,1.32988,1.33138
2026-07-24,1.33138,1.33489,1.3302,1.33221
2026-07-26,1.33414,1.33558,1.33213,1.335
2026-07-27,1.33407,1.33635,1.32843,1.32883
2026-07-28,1.32883,1.33112,1.32734,1.32886
2026-07-29,1.32886,1.33873,1.32768,1.33656
2026-07-30,1.33656,1.34768,1.33328,1.34653
2026-07-31,1.34653,1.34941,1.34001,1.3475
2026-08-02,1.34858,1.35063,1.34639,1.34658
2026-08-03,1.34858,1.35063,1.34175,1.34273
2026-08-04,1.34273,1.34562,1.3419,1.34506
2026-08-05,1.34506,1.34861,1.3439,1.34677
2026-08-06,1.34677,1.34794,1.34484,1.34529
2026-08-07,1.34529,1.35089,1.3434,1.34839
2026-08-09,1.34904,1.34967,1.34802,1.34855
2026-08-10,1.34904,1.35307,1.34795,1.35075
2026-08-11,1.35075,1.35158,1.34922,1.35065
2026-08-12,1.35065,1.35453,1.34876,1.34948
2026-08-13,1.34948,1.3513,1.34742,1.34853
2026-08-14,1.34853,1.3562,1.34759,1.35264
2026-08-16,1.35286,1.35567,1.35262,1.35477
2026-08-17,1.35286,1.35711,1.35262,1.35437
2026-08-18,1.35437,1.35541,1.35195,1.35313
2026-08-19,1.35313,1.36304,1.35231,1.36052
2026-08-20,1.36052,1.36597,1.35934,1.36298
2026-08-21,1.36298,1.36757,1.36184,1.36411
