symbol,date,open,high,low,close,volume
NZDUSD,2026-07-16,0.58497,0.58589,0.58363,0.58541,41762
NZDUSD,2026-07-15,0.5812,0.58631,0.58008,0.58472,138673
NZDUSD,2026-07-14,0.57485,0.58455,0.57433,0.5812,176496
NZDUSD,2026-07-13,0.576,0.57885,0.57438,0.57485,140733
NZDUSD,2026-07-12,0.5763,0.5772,0.57494,0.57568,29385
NZDUSD,2026-07-10,0.57541,0.57929,0.57422,0.57611,118027
NZDUSD,2026-07-09,0.56985,0.5763,0.5689,0.57541,223510
NZDUSD,2026-07-08,0.56775,0.57202,0.56715,0.56985,163676
NZDUSD,2026-07-07,0.5699,0.57066,0.56721,0.56775,106679
NZDUSD,2026-07-06,0.57024,0.57107,0.56766,0.5699,97155
NZDUSD,2026-07-05,0.5712,0.57182,0.56825,0.56855,1
NZDUSD,2026-07-03,0.56962,0.57272,0.56894,0.57024,76345
NZDUSD,2026-07-02,0.56714,0.5717,0.56664,0.56962,337124
NZDUSD,2026-07-01,0.56758,0.56895,0.56577,0.56714,121886
NZDUSD,2026-06-30,0.565,0.56903,0.56406,0.56758,115500
NZDUSD,2026-06-29,0.56336,0.56587,0.56318,0.565,104485
NZDUSD,2026-06-28,0.56336,0.56481,0.56318,0.56452,26778
NZDUSD,2026-06-26,0.5647,0.56582,0.56263,0.5632,139791
NZDUSD,2026-06-25,0.56479,0.56613,0.56334,0.5647,272402
NZDUSD,2026-06-24,0.56662,0.56705,0.56308,0.56479,134780
NZDUSD,2026-06-23,0.5713,0.57173,0.56631,0.56662,125672
NZDUSD,2026-06-22,0.57334,0.57405,0.57093,0.5713,122129
NZDUSD,2026-06-21,0.57334,0.57405,0.57267,0.57298,24083
NZDUSD,2026-06-19,0.5754,0.57624,0.57228,0.57369,111018
NZDUSD,2026-06-18,0.57655,0.57989,0.57488,0.5754,293756
NZDUSD,2026-06-17,0.58307,0.58354,0.57522,0.57655,154380
NZDUSD,2026-06-16,0.58223,0.58433,0.57949,0.58307,186631
NZDUSD,2026-06-15,0.58246,0.58638,0.58197,0.58223,185756
NZDUSD,2026-06-14,0.58564,0.58638,0.58348,0.58554,35097
NZDUSD,2026-06-12,0.58358,0.58399,0.58111,0.58246,250490
NZDUSD,2026-06-11,0.57963,0.58443,0.57691,0.58358,412844
NZDUSD,2026-06-10,0.58165,0.58328,0.57948,0.57963,221999
