date,country,event,currency,previous,estimate,actual,change,impact,changePercentage,unit
2023-01-04 15:00:00,US,JOLTs Job Openings (Nov),USD,10.512,10.0,10.458,-0.054,High,-0.514,M
2023-01-04 15:00:00,US,ISM Manufacturing PMI (Dec),USD,49.0,48.5,48.4,-0.6,High,-1.224,
2023-01-04 19:00:00,US,FOMC Minutes,USD,,,,,High,0.0,
2023-01-05 13:30:00,US,Balance of Trade (Nov),USD,-77.8,-73.0,-61.5,16.3,High,20.951,B
2023-01-06 13:30:00,US,Unemployment Rate (Dec),USD,3.6,3.7,3.5,-0.1,High,-2.778,%
2023-01-06 13:30:00,US,Non Farm Payrolls (Dec),USD,256.0,200.0,223.0,-33.0,High,-12.891,K
2023-01-06 15:00:00,US,ISM Non-Manufacturing PMI (Dec),USD,56.5,55.0,49.6,-6.9,High,-12.212,
2023-01-12 07:30:00,US,CPI YoY (Dec),USD,7.1,6.5,6.5,-0.6,High,-8.451,%
2023-01-12 07:30:00,US,Core CPI MoM (Dec),USD,0.3,0.3,0.3,0.0,High,0.0,%
2023-01-12 07:30:00,US,CPI MoM (Dec),USD,0.2,0.0,-0.1,-0.3,High,-150.0,%
2023-01-12 13:30:00,US,Core Inflation Rate YoY (Dec),USD,6.0,5.7,5.7,-0.3,High,-5.0,%
2023-01-12 13:30:00,US,Inflation Rate YoY (Dec),USD,7.1,6.5,6.5,-0.6,High,-8.451,%
2023-01-18 13:30:00,US,Producer Price Index MoM (Dec),USD,0.2,-0.1,-0.5,-0.7,High,-350.0,%
2023-01-18 13:30:00,US,Retail Sales MoM (Dec),USD,-1.0,-0.8,-1.1,-0.1,High,-10.0,%
2023-01-26 13:30:00,US,Durable Goods Orders MoM (Dec),USD,-1.7,2.5,5.6,7.3,High,429.412,%
2023-01-27 13:30:00,US,Personal Spending MoM (Dec),USD,-0.1,-0.1,-0.2,-0.1,High,-100.0,%
2023-01-27 13:30:00,US,Core PCE Price Index MoM (Dec),USD,0.2,0.3,0.3,0.1,High,50.0,%
2023-01-27 13:30:00,US,Personal Income MoM (Dec),USD,0.3,0.2,0.2,-0.1,High,-33.333,%
2023-01-31 09:00:00,US,CB Consumer Confidence (Jan),USD,109.0,109.0,107.1,-1.9,High,-1.743,
2023-02-01 13:00:00,US,FOMC Economic Projections,USD,,,,,High,0.0,
2023-02-01 13:30:00,US,Press Conference,USD,,,,,High,0.0,
2023-02-01 15:00:00,US,JOLTs Job Openings (Dec),USD,10.44,10.25,11.012,0.572,High,5.479,M
2023-02-01 15:00:00,US,ISM Manufacturing PMI (Jan),USD,48.4,48.0,47.4,-1.0,High,-2.066,
2023-02-01 19:00:00,US,Fed Interest Rate Decision,USD,4.5,4.75,4.75,0.25,High,5.556,%
2023-02-01 19:30:00,US,Fed Press Conference,USD,,,,,High,0.0,
2023-02-03 13:30:00,US,Unemployment Rate (Jan),USD,3.5,3.6,3.4,-0.1,High,-2.857,%
