symbol,date,open,high,low,close,volume
USDJPY,2026-07-16,162.104,162.182,161.988,162.034,61754
USDJPY,2026-07-15,162.238,162.422,161.893,162.174,192873
USDJPY,2026-07-14,162.431,162.47,161.595,162.238,270069
USDJPY,2026-07-13,161.705,162.487,161.62,162.431,285957
USDJPY,2026-07-12,161.63,162.174,161.584,162.064,1
USDJPY,2026-07-10,162.348,162.424,161.28,161.663,267623
USDJPY,2026-07-09,162.577,162.607,162.246,162.348,258116
USDJPY,2026-07-08,162.077,162.709,162.02,162.577,220934
USDJPY,2026-07-07,162.072,162.18,161.651,162.077,222744
USDJPY,2026-07-06,161.256,162.424,161.237,162.072,207464
USDJPY,2026-07-05,161.487,162.424,161.452,161.452,40362
USDJPY,2026-07-03,161.096,161.52,160.478,161.325,339448
USDJPY,2026-07-02,162.569,162.597,160.619,161.096,693102
USDJPY,2026-07-01,162.518,162.837,162.295,162.569,172221
USDJPY,2026-06-30,161.928,162.671,161.853,162.518,174401
USDJPY,2026-06-29,161.708,161.98,161.703,161.928,104721
USDJPY,2026-06-28,161.685,161.863,161.668,161.778,136609
USDJPY,2026-06-26,161.781,161.849,161.532,161.691,136609
USDJPY,2026-06-25,161.777,161.948,161.555,161.781,310314
USDJPY,2026-06-24,161.568,161.839,161.45,161.777,177003
USDJPY,2026-06-23,161.561,161.741,161.265,161.568,180540
USDJPY,2026-06-22,161.222,161.926,161.07,161.561,220847
USDJPY,2026-06-21,161.275,161.607,161.14,161.564,1
USDJPY,2026-06-19,161.368,161.458,160.988,161.246,166404
USDJPY,2026-06-18,160.624,161.808,160.47,161.368,432994
USDJPY,2026-06-17,160.374,160.796,160.117,160.624,175412
USDJPY,2026-06-16,160.32,160.482,160.049,160.374,153071
USDJPY,2026-06-15,160.055,160.397,159.732,160.32,137185
USDJPY,2026-06-14,160.185,160.231,159.702,160.07,33770
USDJPY,2026-06-12,159.869,160.376,159.856,160.194,209404
USDJPY,2026-06-11,160.537,160.595,159.534,159.869,284794
USDJPY,2026-06-10,160.349,160.573,160.238,160.537,154557
USDJPY,2026-06-09,160.173,160.447,160.054,160.349,161563
USDJPY,2026-06-08,160.19,160.392,159.839,160.173,206495
USDJPY,2026-06-07,160.158,160.354,160.061,160.328,41671
USDJPY,2026-06-05,160.012,160.341,159.709,160.28,199382
USDJPY,2026-06-04,160.064,160.077,159.589,160.012,347938
USDJPY,2026-06-03,159.908,160.091,159.366,160.064,204647
USDJPY,2026-06-02,159.658,159.988,159.569,159.908,165702
USDJPY,2026-06-01,159.356,159.767,159.294,159.658,195329
USDJPY,2026-05-31,159.255,159.499,159.243,159.468,30264
USDJPY,2026-05-29,159.23,159.376,159.095,159.23,188054
USDJPY,2026-05-28,159.498,159.652,159.11,159.23,379878
USDJPY,2026-05-27,159.291,159.579,159.176,159.498,218872
USDJPY,2026-05-26,158.878,159.381,158.809,159.291,122291
USDJPY,2026-05-25,158.746,159.041,158.746,158.878,86721
USDJPY,2026-05-24,158.942,159.037,158.759,158.946,24088
USDJPY,2026-05-22,158.926,159.234,158.871,159.176,164890
USDJPY,2026-05-21,158.904,159.343,158.8,158.926,239658
USDJPY,2026-05-20,159.076,159.169,158.587,158.904,275740
USDJPY,2026-05-19,158.786,159.251,158.643,159.076,248154
USDJPY,2026-05-18,158.718,159.081,158.612,158.786,254375
USDJPY,2026-05-17,158.65,158.973,158.536,158.961,39448
USDJPY,2026-05-15,158.362,158.843,158.257,158.718,250774
USDJPY,2026-05-14,157.848,158.422,157.286,158.362,231473
USDJPY,2026-05-13,157.616,157.926,157.539,157.848,129604
USDJPY,2026-05-12,157.137,157.765,156.714,157.616,181861
USDJPY,2026-05-11,156.521,157.273,156.521,157.137,137972
USDJPY,2026-05-10,156.391,157.175,156.391,157.135,32867
USDJPY,2026-05-08,156.874,156.989,156.432,156.648,203994
USDJPY,2026-05-07,156.329,156.955,156.023,156.874,249766
USDJPY,2026-05-06,157.872,157.935,155.025,156.329,477547
USDJPY,2026-05-05,157.218,157.92,157.076,157.872,213646
USDJPY,2026-05-04,156.752,157.304,155.687,157.218,336839
USDJPY,2026-05-03,156.562,157.326,155.453,156.415,322759
USDJPY,2026-05-01,156.592,157.328,155.489,157.017,322759
USDJPY,2026-04-30,160.435,160.724,155.535,156.592,1069694
USDJPY,2026-04-29,159.611,160.473,159.49,160.435,229960
USDJPY,2026-04-28,159.41,159.787,158.958,159.611,208522
USDJPY,2026-04-27,159.555,159.597,159.093,159.41,160278
USDJPY,2026-04-26,159.575,159.576,159.09,159.576,34842
USDJPY,2026-04-24,159.647,159.841,159.295,159.298,200999
USDJPY,2026-04-23,159.438,159.847,159.295,159.647,491226
USDJPY,2026-04-22,159.323,159.574,159.101,159.438,265737
USDJPY,2026-04-21,158.806,159.639,158.708,159.323,262504
USDJPY,2026-04-20,158.735,159.202,158.551,158.806,275555
USDJPY,2026-04-19,159.153,159.177,158.55099,159.161,45807
USDJPY,2026-04-17,159.118,159.531,157.588,158.587,271520
USDJPY,2026-04-16,158.938,159.309,158.262,159.118,386032
USDJPY,2026-04-15,158.77,159.153,158.645,158.938,209851
USDJPY,2026-04-14,159.422,159.441,158.602,158.77,189928
USDJPY,2026-04-13,159.61,159.863,159.288,159.422,200645
USDJPY,2026-04-12,159.69701,159.85001,159.517,159.67999,40301
USDJPY,2026-04-10,158.926,159.378,158.854,159.243,181030
USDJPY,2026-04-09,158.535,159.298,158.445,158.926,400542
USDJPY,2026-04-08,159.592,159.745,157.884,158.535,379677
USDJPY,2026-04-07,159.676,160.03,159.468,159.592,237506
USDJPY,2026-04-06,159.687,159.832,159.304,159.676,193703
USDJPY,2026-04-05,159.75,159.793,159.317,159.78,60003
USDJPY,2026-04-03,159.589,159.816,159.429,159.505,111044
USDJPY,2026-04-02,158.775,159.746,158.543,159.589,527316
USDJPY,2026-04-01,158.711,159.014,158.271,158.775,268593
USDJPY,2026-03-31,159.669,159.974,158.655,158.711,282883
USDJPY,2026-03-30,160.145,160.461,159.325,159.669,222797
USDJPY,2026-03-29,160.231,160.23399,159.321,160.23399,55275
USDJPY,2026-03-27,159.785,160.413,159.456,160.247,216358
