session,side,sweep,t_sweep,t_placed,level,tp,sl,status,t_fill,fill_px,t_exit,exit_px,exit_reason,ambiguous,risk_pips,lots,pnl,balance_after
2023-01-01 22:00:00,sell,L,2023-01-01 23:45:00,2023-01-02 01:00:00,1.07211,1.0691,1.0793,invalid,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-02 02:00:00,buy,S,2023-01-02 02:00:00,2023-01-02 03:15:00,1.07593,1.0793,1.06786,expired,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-02 06:00:00,buy,S,2023-01-02 06:45:00,2023-01-02 09:00:00,1.07544,1.0793,1.0662,expired,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-02 18:00:00,buy,S,2023-01-02 18:15:00,2023-01-02 19:30:00,1.06749,1.06874,1.0645,filled,2023-01-02 21:10:00,1.0675000000000001,2023-01-02 21:55:00,1.0663099999999999,flatten,False,29.90000000000048,3.3444816053511164,-418.06020066897196,99581.93979933103
2023-01-02 22:00:00,sell,L,2023-01-02 23:00:00,2023-01-03 00:15:00,1.06605,1.0651,1.06831,filled,2023-01-03 01:05:00,1.0660399999999999,2023-01-03 01:40:00,1.0651,tp,False,22.600000000001508,4.406280522094,387.7526859442459,99969.69248527527
2023-01-03 10:00:00,buy,S,2023-01-03 10:30:00,2023-01-03 12:30:00,1.06324,1.06802,1.0518,expired,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-03 14:00:00,sell,L,2023-01-03 14:00:00,2023-01-03 15:45:00,1.05414,1.0518,1.05972,filled,2023-01-03 16:10:00,1.05413,2023-01-03 17:55:00,1.05446,flatten,False,55.79999999999918,1.7915715499153537,-69.8712904466883,99899.82119482859
2023-01-03 22:00:00,buy,S,2023-01-03 22:15:00,2023-01-03 23:30:00,1.05601,1.0569,1.0539,near_miss,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-04 06:00:00,buy,S,2023-01-04 06:30:00,2023-01-04 07:45:00,1.05726,1.05787,1.0558,invalid,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-04 14:00:00,sell,L,2023-01-04 14:45:00,2023-01-04 16:00:00,1.0604,1.0594,1.0628,invalid,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-05 06:00:00,buy,S,2023-01-05 07:45:00,2023-01-05 09:00:00,1.06109,1.06201,1.0589,invalid,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-05 14:00:00,buy,S,2023-01-05 14:00:00,2023-01-05 17:00:00,1.05869,1.06174,1.0514,expired,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-06 02:00:00,sell,L,2023-01-06 02:15:00,2023-01-06 04:30:00,1.05229,1.0517,1.0537,near_miss,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-06 06:00:00,buy,S,2023-01-06 07:15:00,2023-01-06 08:45:00,1.05281,1.0537,1.05068,near_miss,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-06 10:00:00,buy,S,2023-01-06 11:45:00,2023-01-06 13:15:00,1.05169,1.05311,1.04829,filled,2023-01-06 13:30:00,1.0517,2023-01-06 13:45:00,1.05311,tp,False,34.000000000000696,2.9382300351419572,396.66105474413814,100296.48224957273
2023-01-08 22:00:00,sell,L,2023-01-08 23:15:00,2023-01-09 01:15:00,1.06431,1.06329,1.06676,expired,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-09 02:00:00,sell,L,2023-01-09 02:00:00,2023-01-09 04:00:00,1.06583,1.065,1.0678,expired,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-09 14:00:00,sell,L,2023-01-09 14:45:00,2023-01-09 16:45:00,1.06863,1.06596,1.075,expired,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-09 22:00:00,buy,S,2023-01-09 22:00:00,2023-01-09 23:15:00,1.07435,1.07541,1.07182,expired,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-10 02:00:00,sell,L,2023-01-10 02:00:00,2023-01-10 03:30:00,1.07267,1.072,1.07426,near_miss,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-10 14:00:00,sell,L,2023-01-10 14:00:00,2023-01-10 15:45:00,1.07372,1.0728,1.07593,invalid,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-11 14:00:00,sell,L,2023-01-11 14:15:00,2023-01-11 16:00:00,1.07408,1.0726,1.07763,filled,2023-01-11 16:55:00,1.0740699999999999,2023-01-11 17:55:00,1.07436,flatten,False,35.50000000000164,2.825253021114594,-98.88385573904569,100197.59839383369
2023-01-11 22:00:00,sell,L,2023-01-12 00:00:00,2023-01-12 01:45:00,1.07526,1.07433,1.07748,expired,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
2023-01-12 18:00:00,sell,L,2023-01-12 18:00:00,2023-01-12 19:15:00,1.07852,1.0751,1.0867,expired,,0.0,,0.0,,False,0.0,0.0,0.0,0.0
